Variable,Label,Type,Description
T1516CAT1LA,2015-16 Teaching and Education Support Staff Costs (&pound; per pupil) for LA,FLOAT,
T1112CAT2LA,2011-12 Supply Staff Costs (&pound; per pupil) for LA,FLOAT,
T1213CAT2LA,2012-13 Supply Staff Costs (&pound; per pupil) for LA,FLOAT,
T1314CAT2LA,2013-14 Supply Staff Costs (&pound; per pupil) for LA,FLOAT,
T1415CAT2LA,2014-15 Supply Staff Costs (&pound; per pupil) for LA,FLOAT,
T1516CAT2LA,2015-16 Supply Staff Costs (&pound; per pupil) for LA,FLOAT,
T1112CAT3LA,2011-12 Back Office (&pound; per pupil) for LA,FLOAT,
T1213CAT3LA,2012-13 Back Office (&pound; per pupil) for LA,FLOAT,
T1314CAT3LA,2013-14 Back Office (&pound; per pupil) for LA,FLOAT,
T1415CAT3LA,2014-15 Back Office (&pound; per pupil) for LA,FLOAT,
T1516CAT3LA,2015-16 Back Office (&pound; per pupil) for LA,FLOAT,
T1112CAT4LA,2011-12 Energy (&pound; per pupil) for LA,FLOAT,
T1213CAT4LA,2012-13 Energy (&pound; per pupil) for LA,FLOAT,
T1314CAT4LA,2013-14 Energy (&pound; per pupil) for LA,FLOAT,
T1415CAT4LA,2014-15 Energy (&pound; per pupil) for LA,FLOAT,
T1516CAT4LA,2015-16 Energy (&pound; per pupil) for LA,FLOAT,
T1112CAT5LA,2011-12 Total Expenditure (&pound; per pupil) for LA,FLOAT,
T1213CAT5LA,2012-13 Total Expenditure (&pound; per pupil) for LA,FLOAT,
T1314CAT5LA,2013-14 Total Expenditure (&pound; per pupil) for LA,FLOAT,
T1415CAT5LA,2014-15 Total Expenditure (&pound; per pupil) for LA,FLOAT,
T1516CAT5LA,2015-16 Total Expenditure (&pound; per pupil) for LA,FLOAT,
PT1112CAT1LA,2011-12 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA,PCT,
PT1213CAT1LA,2012-13 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA,PCT,
PT1314CAT1LA,2013-14 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA,PCT,
PT1415CAT1LA,2014-15 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA,PCT,
PT1516CAT1LA,2015-16 Teaching and Education Support Staff Costs (proportion of total expenditure) for LA,PCT,
PT1112CAT2LA,2011-12 Supply Staff Costs (proportion of total expenditure) for LA,PCT,
PT1213CAT2LA,2012-13 Supply Staff Costs (proportion of total expenditure) for LA,PCT,
PT1314CAT2LA,2013-14 Supply Staff Costs (proportion of total expenditure) for LA,PCT,
PT1415CAT2LA,2014-15 Supply Staff Costs (proportion of total expenditure) for LA,PCT,
PT1516CAT2LA,2015-16 Supply Staff Costs (proportion of total expenditure) for LA,PCT,
PT1112CAT3LA,2011-12 Back Office (proportion of total expenditure) for LA,PCT,
PT1213CAT3LA,2012-13 Back Office (proportion of total expenditure) for LA,PCT,
PT1314CAT3LA,2013-14 Back Office (proportion of total expenditure) for LA,PCT,
PT1415CAT3LA,2014-15 Back Office (proportion of total expenditure) for LA,PCT,
PT1516CAT3LA,2015-16 Back Office (proportion of total expenditure) for LA,PCT,
PT1112CAT4LA,2011-12 Energy (proportion of total expenditure) for LA,PCT,
PT1213CAT4LA,2012-13 Energy (proportion of total expenditure) for LA,PCT,
PT1314CAT4LA,2013-14 Energy (proportion of total expenditure) for LA,PCT,
PT1415CAT4LA,2014-15 Energy (proportion of total expenditure) for LA,PCT,
PT1516CAT4LA,2014-15 Energy (proportion of total expenditure) for LA,PCT,
PT1112CAT5LA,2011-12 Energy (proportion of total expenditure) for LA,PCT,
PT1213CAT5LA,2012-13 Total Expenditure (proportion of total expenditure) for LA,PCT,
PT1314CAT5LA,2013-14 Total Expenditure (proportion of total expenditure) for LA,PCT,
PT1415CAT5LA,2014-15 Total Expenditure (proportion of total expenditure) for LA,PCT,
PT1516CAT5LA,2015-16 Total Expenditure (proportion of total expenditure) for LA,PCT,
